time,open,high,low,close,volume
2020-08-30 14:00:00,11603.09,11615.71,11563.11,11598.75,1776.930843
2020-08-30 15:00:00,11598.75,11665.11,11592.94,11628.01,2709.298855
2020-08-30 16:00:00,11627.64,11634.54,11600.17,11620.03,2045.906069
2020-08-30 17:00:00,11620.02,11658.99,11557.69,11616.2,2615.250909
2020-08-30 18:00:00,11616.21,11685.0,11580.0,11665.7,2767.03896
2020-08-30 19:00:00,11665.7,11674.12,11631.15,11641.57,1772.280451
2020-08-30 20:00:00,11641.57,11655.18,11630.01,11651.04,1249.165037
2020-08-30 21:00:00,11651.04,11655.98,11633.99,11642.59,1216.2029
2020-08-30 22:00:00,11642.59,11658.88,11620.05,11638.11,1522.738856
2020-08-30 23:00:00,11638.49,11645.04,11591.52,11601.74,1402.996802
2020-08-31 00:00:00,11601.74,11664.69,11588.55,11656.35,1619.536611
2020-08-31 01:00:00,11656.46,11719.0,11647.22,11711.16,2575.268285
2020-08-31 02:00:00,11711.17,11726.89,11682.76,11696.19,2151.756713
2020-08-31 03:00:00,11696.19,11704.99,11678.0,11688.16,1301.784701
2020-08-31 04:00:00,11688.15,11699.54,11672.72,11676.2,1278.680181
2020-08-31 05:00:00,11676.2,11688.95,11667.85,11679.09,1198.807477
2020-08-31 06:00:00,11679.08,11705.99,11651.04,11664.01,1521.750394
2020-08-31 07:00:00,11664.01,11680.37,11651.2,11668.05,1348.505258
2020-08-31 08:00:00,11668.05,11680.67,11638.48,11675.35,1777.862195
2020-08-31 09:00:00,11675.35,11680.43,11594.06,11618.65,2735.477874
2020-08-31 10:00:00,11618.64,11631.92,11570.0,11580.16,2570.991424
2020-08-31 11:00:00,11580.16,11617.7,11570.0,11596.57,2716.821036
2020-08-31 12:00:00,11596.57,11625.68,11577.88,11608.92,2187.7997
2020-08-31 13:00:00,11608.92,11710.0,11607.65,11680.58,3496.9698
2020-08-31 14:00:00,11680.72,11758.0,11661.11,11719.83,3726.187739
2020-08-31 15:00:00,11719.57,11800.77,11700.0,11713.87,5032.753009
2020-08-31 16:00:00,11713.87,11735.11,11678.47,11730.46,3651.089301
2020-08-31 17:00:00,11730.45,11743.3,11696.14,11742.16,2807.401825
2020-08-31 18:00:00,11742.15,11751.36,11705.0,11712.33,2521.887445
2020-08-31 19:00:00,11712.33,11732.72,11690.0,11710.2,2077.854994
2020-08-31 20:00:00,11710.2,11738.25,11705.05,11716.05,1885.640626
2020-08-31 21:00:00,11716.05,11736.22,11706.25,11725.0,1803.305167
2020-08-31 22:00:00,11725.0,11731.49,11645.0,11672.79,2842.133699
2020-08-31 23:00:00,11672.8,11704.02,11614.9,11632.61,1781.144765
2020-09-01 00:00:00,11632.61,11685.65,11621.23,11651.38,1382.976214
2020-09-01 01:00:00,11651.39,11689.68,11647.61,11649.51,1554.036207
2020-09-01 02:00:00,11649.51,11668.5,11515.0,11612.21,4218.966566
2020-09-01 03:00:00,11612.22,11639.47,11585.03,11629.09,1427.189715
2020-09-01 04:00:00,11629.09,11643.81,11605.87,11630.17,1630.582094
2020-09-01 05:00:00,11630.18,11703.0,11615.0,11691.49,2212.36892
2020-09-01 06:00:00,11691.43,11720.0,11672.17,11692.66,2345.949864
2020-09-01 07:00:00,11692.67,11796.0,11687.35,11794.55,2970.373472
2020-09-01 08:00:00,11794.55,11871.92,11778.0,11861.85,4771.975467
2020-09-01 09:00:00,11861.82,11940.0,11861.81,11923.74,5067.424302
2020-09-01 10:00:00,11923.74,11940.0,11868.19,11912.85,3836.291696
2020-09-01 11:00:00,11912.85,11950.0,11863.03,11938.96,3246.007811
2020-09-01 12:00:00,11938.96,11946.99,11906.0,11919.9,2630.467221
2020-09-01 13:00:00,11919.9,11922.95,11834.01,11868.99,4627.470453
2020-09-01 14:00:00,11868.98,11918.83,11840.7,11899.94,3337.121962
2020-09-01 15:00:00,11899.94,11910.17,11852.73,11864.38,2622.47998
2020-09-01 16:00:00,11864.38,11894.54,11797.26,11894.06,4135.432227
2020-09-01 17:00:00,11893.93,12044.67,11890.96,12039.33,6167.549916
2020-09-01 18:00:00,12039.33,12050.85,11980.59,11996.22,4547.873903
2020-09-01 19:00:00,11996.22,12015.96,11947.19,11957.05,3205.799983
2020-09-01 20:00:00,11957.05,12004.95,11955.0,11983.57,2125.970302
2020-09-01 21:00:00,11983.56,11989.82,11953.05,11957.41,1991.207868
2020-09-01 22:00:00,11957.41,12015.11,11938.86,12003.6,2365.851556
2020-09-01 23:00:00,12003.61,12041.86,11988.01,12016.05,2258.630437
2020-09-02 00:00:00,12016.14,12050.0,11941.8,11973.04,3017.157538
2020-09-02 01:00:00,11973.04,12011.6,11851.0,11921.97,3388.050415
2020-09-02 02:00:00,11921.97,11954.57,11875.02,11899.11,3068.932555
2020-09-02 03:00:00,11899.11,11925.32,11856.31,11887.83,2638.872253
2020-09-02 04:00:00,11887.82,11908.95,11853.34,11858.0,2141.915329
2020-09-02 05:00:00,11858.0,11878.31,11825.0,11835.01,2459.042313
2020-09-02 06:00:00,11835.02,11899.41,11826.17,11873.46,1934.472398
2020-09-02 07:00:00,11873.47,11900.0,11856.69,11868.55,2085.710254
2020-09-02 08:00:00,11868.64,11868.64,11747.0,11790.62,4589.270509
2020-09-02 09:00:00,11790.62,11803.41,11718.16,11722.84,3483.827666
2020-09-02 10:00:00,11723.59,11745.9,11656.81,11711.61,4195.523561
2020-09-02 11:00:00,11711.61,11747.99,11700.0,11738.1,2234.656879
2020-09-02 12:00:00,11738.09,11743.3,11520.01,11574.27,5720.27911
2020-09-02 13:00:00,11574.26,11574.27,11160.1,11406.02,14110.024845
2020-09-02 14:00:00,11406.01,11470.65,11375.06,11428.65,5516.973371
2020-09-02 15:00:00,11428.64,11445.7,11307.54,11338.55,4799.303659
2020-09-02 16:00:00,11338.55,11368.18,11193.79,11244.82,5401.2051
2020-09-02 17:00:00,11244.83,11351.7,11231.99,11329.67,3669.295168
