time,close,index,duration,epsilon,capital,episode,step,position,entry_price,exit_price,trade_len,pnl_ratio
2020-09-14 12:00:00,10416.06,358.0,42.92,0.0074,10618.61,31.0,7.0,1.0,10359.74,10416.06,4.0,0.54
2020-09-14 20:00:00,10674.98,366.0,44.25,0.006999999999999999,10791.19,32.0,7.0,1.0,10504.26,10674.98,6.0,1.63
2020-09-15 04:00:00,10758.24,374.0,46.2,0.0067,10716.19,33.0,7.0,-1.0,10683.99,10758.24,6.0,-0.69
2020-09-15 12:00:00,10847.32,382.0,50.2,0.0064,10831.94,34.0,7.0,1.0,10731.41,10847.32,6.0,1.08
2020-09-15 16:00:00,10764.19,386.0,21.72,0.0062,10689.19,35.0,3.0,1.0,10907.94,10764.19,2.0,-1.32
2020-09-15 19:00:00,10794.84,389.0,14.84,0.0059,10678.68,36.0,2.0,-1.0,10784.23,10794.84,1.0,-0.1
2020-09-16 03:00:00,10738.19,397.0,56.29,0.0057,10723.41,37.0,7.0,-1.0,10783.36,10738.19,6.0,0.42
2020-09-16 08:00:00,10835.53,402.0,34.73,0.0054,10667.58,38.0,4.0,-1.0,10779.41,10835.53,3.0,-0.52
2020-09-16 14:00:00,10925.23,408.0,41.48,0.0052,10748.77,39.0,5.0,1.0,10842.71,10925.23,2.0,0.76
2020-09-16 18:00:00,11059.57,412.0,24.5,0.005,10802.07,40.0,3.0,1.0,11004.99,11059.57,1.0,0.5
2020-09-17 02:00:00,10993.67,420.0,58.01,0.0049,10818.38,41.0,7.0,-1.0,11010.29,10993.67,6.0,0.15
2020-09-17 09:00:00,10882.39,427.0,50.98,0.0047,10808.13,42.0,6.0,-1.0,10872.09,10882.39,4.0,-0.09
2020-09-17 17:00:00,10838.31,435.0,63.37,0.0045,10769.32,43.0,7.0,1.0,10877.37,10838.31,6.0,-0.36
2020-09-18 01:00:00,10939.99,443.0,62.0,0.0044,10735.02,44.0,7.0,-1.0,10905.26,10939.99,5.0,-0.32
2020-09-18 09:00:00,10954.14,451.0,60.27,0.0042,10682.78,45.0,7.0,-1.0,10901.09,10954.14,6.0,-0.49
2020-09-18 17:00:00,10899.37,459.0,62.26,0.0041,10577.0,46.0,7.0,1.0,11008.38,10899.37,6.0,-0.99
2020-09-19 01:00:00,10933.39,467.0,58.98,0.004,10507.12,47.0,7.0,-1.0,10861.63,10933.39,5.0,-0.66
2020-09-19 09:00:00,10900.29,475.0,59.91,0.0039,10538.97,48.0,7.0,-1.0,10933.44,10900.29,2.0,0.3
2020-09-19 17:00:00,11090.56,483.0,60.11,0.0037,10549.85,49.0,7.0,1.0,11079.13,11090.56,1.0,0.1
2020-09-20 01:00:00,11080.65,491.0,64.45,0.0036,10538.07,50.0,7.0,-1.0,11068.3,11080.65,6.0,-0.11
2020-09-20 10:00:00,10952.92,500.0,72.6,0.0035,10528.76,51.0,8.0,1.0,10962.61,10952.92,1.0,-0.09
2020-09-20 19:00:00,10894.66,509.0,72.82,0.0034,10569.91,52.0,8.0,1.0,10852.25,10894.66,1.0,0.39
2020-09-20 23:00:00,10871.67,513.0,26.03,0.0033,10590.33,53.0,3.0,1.0,10850.7,10871.67,1.0,0.19
